comandoerr,comando
modifciar contenido,modificar contenido
exkit,exit
cerxar sesion,cerrar sesion
lcear,clear
kmdir,mkdir
mkkfile,mkfile
dc,cd
s,ls
pdw,pwd
descragar,descargar
subixr,subir
cambiarn ombre,cambiar nombre
modificar cotnenido,modificar contenido
eixt,exit
cerrar ssion,cerrar sesion
cleapr,clear
kdir,mkdir
mkfiel,mkfile
c,cd
s,ls
pdw,pwd
descargr,descargar
csubir,subir
cambiar nmobre,cambiar nombre
mgodificar contenido,modificar contenido
exi,exit
cerrars esion,cerrar sesion
cleal,clear
kmdir,mkdir
mkqfile,mkfile
dc,cd
lz,ls
pw,pwd
descagar,descargar
suhir,subir
cambiahr nombre,cambiar nombre
modificar contexnido,modificar contenido
exgt,exit
ceerar sesion,cerrar sesion
claer,clear
skdir,mkdir
mbfile,mkfile
ud,cd
sl,ls
pwb,pwd
descargatr,descargar
subi,subir
cambiar nosmbre,cambiar nombre
modificar conttenido,modificar contenido
exitr,exit
xerrar sesion,cerrar sesion
lear,clear
mkdri,mkdir
mkfiel,mkfile
c,cd
ts,ls
wd,pwd
dscargar,descargar
subri,subir
cambkar nombre,cambiar nombre
wmodificar contenido,modificar contenido
xit,exit
cerrar ssion,cerrar sesion
claer,clear
mkdrr,mkdir
mfile,mkfile
d,cd
lps,ls
pd,pwd
lescargar,descargar
dsubir,subir
cambar nombre,cambiar nombre
modifciar contenido,modificar contenido
nexit,exit
cerrar seison,cerrar sesion
cleadr,clear
mkdr,mkdir
mkfil,mkfile
dc,cd
lz,ls
psd,pwd
decsargar,descargar
ubir,subir
cambir nombre,cambiar nombre
omdificar contenido,modificar contenido
xeit,exit
cerar sesion,cerrar sesion
elear,clear
mkdcir,mkdir
msfile,mkfile
dc,cd
l,ls
plwd,pwd
desacrgar,descargar
ubir,subir
cambia nombre,cambiar nombre
modificiar contenido,modificar contenido
eeit,exit
cemrar sesion,cerrar sesion
cleau,clear
mdkir,mkdir
imkfile,mkfile
dc,cd
hls,ls
wd,pwd
descarar,descargar
slbir,subir
cambiar nobre,cambiar nombre
modificafr contenido,modificar contenido
ezxit,exit
cesrar sesion,cerrar sesion
clar,clear
mkdifr,mkdir
mksfile,mkfile
qd,cd
lm,ls
pdw,pwd
decargar,descargar
usbir,subir
cabiar nombre,cambiar nombre
modificar coontenido,modificar contenido
exigt,exit
cerdrar sesion,cerrar sesion
clefr,clear
okdir,mkdir
mkifle,mkfile
cld,cd
cls,ls
pwi,pwd
descarwar,descargar
suibr,subir
cambir nombre,cambiar nombre
modificar contenid,modificar contenido
eoit,exit
cerjar sesion,cerrar sesion
cplear,clear
mkidr,mkdir
mkile,mkfile
d,cd
sl,ls
pwdh,pwd
descrgar,descargar
rsubir,subir
cambiak nombre,cambiar nombre
kmodificar contenido,modificar contenido
exi,exit
cerrear sesion,cerrar sesion
celar,clear
mkdri,mkdir
mkfirle,mkfile
fd,cd
lts,ls
wpd,pwd
descaragr,descargar
subifr,subir
cambiar nmobre,cambiar nombre
modfiicar contenido,modificar contenido
exxit,exit
cerrar segion,cerrar sesion
celar,clear
mkir,mkdir
mfkile,mkfile
cdd,cd
sl,ls
pfd,pwd
descragar,descargar
sobir,subir
cambiarb nombre,cambiar nombre
modificar contendio,modificar contenido
exti,exit
errar sesion,cerrar sesion
clera,clear
mkdri,mkdir
mkfiele,mkfile
dc,cd
sl,ls
pd,pwd
deuscargar,descargar
ubir,subir
cambiar nombce,cambiar nombre
mowificar contenido,modificar contenido
rexit,exit
cirrar sesion,cerrar sesion
lear,clear
zkdir,mkdir
mkfidle,mkfile
d,cd
hs,ls
pwde,pwd
descaragr,descargar
subizr,subir
cambiar njombre,cambiar nombre
modificar contenhdo,modificar contenido
exiw,exit
cerrar seseon,cerrar sesion
ciear,clear
mkdi,mkdir
mfile,mkfile
cde,cd
ly,ls
pdw,pwd
descragar,descargar
hsubir,subir
cambiar nomrbe,cambiar nombre
modificap contenido,modificar contenido
uxit,exit
cerrrar sesion,cerrar sesion
mlear,clear
mkdr,mkdir
mfile,mkfile
dc,cd
l,ls
wpd,pwd
rescargar,descargar
squbir,subir
cambar nombre,cambiar nombre
modificiar contenido,modificar contenido
eit,exit
serrar sesion,cerrar sesion
cleari,clear
kmdir,mkdir
mkfiel,mkfile
c,cd
sl,ls
ywd,pwd
descragar,descargar
suibr,subir
acmbiar nombre,cambiar nombre
modificar cotnenido,modificar contenido
exti,exit
cmerrar sesion,cerrar sesion
claer,clear
mdir,mkdir
mkfilt,mkfile
cdt,cd
s,ls
wd,pwd
descargarr,descargar
smbir,subir
ckmbiar nombre,cambiar nombre
modificar contnido,modificar contenido
txit,exit
cerrar sesionv,cerrar sesion
claer,clear
mkcir,mkdir
mkfileb,mkfile
dc,cd
s,ls
pw,pwd
duscargar,descargar
subzir,subir
camjbiar nombre,cambiar nombre
modificar contendo,modificar contenido
lexit,exit
crrar sesion,cerrar sesion
clar,clear
mkdirm,mkdir
mfile,mkfile
dc,cd
ws,ls
pwdg,pwd
descagrar,descargar
stubir,subir
camibiar nombre,cambiar nombre
modificra contenido,modificar contenido
exih,exit
cerrar oesion,cerrar sesion
clbar,clear
mkdi,mkdir
mkfble,mkfile
jd,cd
lx,ls
pd,pwd
decsargar,descargar
suir,subir
yambiar nombre,cambiar nombre
moificar contenido,modificar contenido
sxit,exit
cerrar sesimon,cerrar sesion
cleatr,clear
mknir,mkdir
mskfile,mkfile
xcd,cd
l,ls
pdw,pwd
descarga,descargar
usbir,subir
cambiar onmbre,cambiar nombre
modificar ccontenido,modificar contenido
exijt,exit
crrar sesion,cerrar sesion
cear,clear
fkdir,mkdir
bmkfile,mkfile
dc,cd
li,ls
wd,pwd
descarar,descargar
suibr,subir
camibar nombre,cambiar nombre
modificar cyontenido,modificar contenido
ehit,exit
cerrarsesion,cerrar sesion
lear,clear
mkdri,mkdir
mkrfile,mkfile
vd,cd
xls,ls
pwq,pwd
escargar,descargar
usbir,subir
cambiar nqmbre,cambiar nombre
modificar contekido,modificar contenido
exot,exit
ecrrar sesion,cerrar sesion
clera,clear
mkidr,mkdir
mkfvile,mkfile
dc,cd
los,ls
wpd,pwd
decargar,descargar
suibr,subir
cambiaxr nombre,cambiar nombre
modificas contenido,modificar contenido
eixt,exit
cerrar sesxon,cerrar sesion
clbar,clear
mkdri,mkdir
mkfilwe,mkfile
d,cd
us,ls
wd,pwd
escargar,descargar
subiwr,subir
camibar nombre,cambiar nombre
modificar contneido,modificar contenido
exitl,exit
cerrar sesio,cerrar sesion
oclear,clear
mkmir,mkdir
mkfilue,mkfile
dc,cd
lt,ls
wd,pwd
descacgar,descargar
subri,subir
campiar nombre,cambiar nombre
modificar contendio,modificar contenido
exitr,exit
cerrar sesoin,cerrar sesion
clera,clear
mkidr,mkdir
mkfilwe,mkfile
cn,cd
sl,ls
pd,pwd
dfscargar,descargar
ubir,subir
cambar nombre,cambiar nombre
modificar cogntenido,modificar contenido
exti,exit
cerxar sesion,cerrar sesion
claer,clear
mkir,mkdir
mkfil,mkfile
ycd,cd
lsz,ls
wpd,pwd
delcargar,descargar
usbir,subir
camtbiar nombre,cambiar nombre
modifiacr contenido,modificar contenido
eixt,exit
cerar sesion,cerrar sesion
cleqr,clear
qmkdir,mkdir
mkfiel,mkfile
ck,cd
lsg,ls
pkd,pwd
ddescargar,descargar
suibr,subir
cambiar nombde,cambiar nombre
modificar conteoido,modificar contenido
exyit,exit
cerrasr sesion,cerrar sesion
celar,clear
mkfdir,mkdir
skfile,mkfile
cr,cd
ns,ls
wd,pwd
descrgar,descargar
mubir,subir
cambiar nocbre,cambiar nombre
msdificar contenido,modificar contenido
exi,exit
cerra sesion,cerrar sesion
claer,clear
mdkir,mkdir
jkfile,mkfile
ct,cd
sl,ls
pwdf,pwd
descragar,descargar
fsubir,subir
cambbiar nombre,cambiar nombre
modifickar contenido,modificar contenido
exft,exit
ocerrar sesion,cerrar sesion
cslear,clear
mkir,mkdir
mkfiel,mkfile
dc,cd
los,ls
wd,pwd
duscargar,descargar
subuir,subir
cambmar nombre,cambiar nombre
modificar ocntenido,modificar contenido
eit,exit
cerrarr sesion,cerrar sesion
cdlear,clear
mdkir,mkdir
mfkile,mkfile
pd,cd
sl,ls
wpd,pwd
desacrgar,descargar
sbuir,subir
ambiar nombre,cambiar nombre
modificar cntenido,modificar contenido
eixt,exit
cerrar ssion,cerrar sesion
wclear,clear
mkir,mkdir
mkfie,mkfile
jd,cd
sl,ls
pwnd,pwd
descaragr,descargar
sbuir,subir
campiar nombre,cambiar nombre
modificar conteqnido,modificar contenido
nxit,exit
cerrsar sesion,cerrar sesion
cleard,clear
mkdirl,mkdir
kfile,mkfile
ctd,cd
l,ls
jpwd,pwd
dencargar,descargar
lsubir,subir
cambinr nombre,cambiar nombre
modificar contenio,modificar contenido
exio,exit
cerrar sesioe,cerrar sesion
lear,clear
mkdi,mkdir
mkfuile,mkfile
c,cd
lqs,ls
wpd,pwd
edscargar,descargar
suber,subir
cambia rnombre,cambiar nombre
modificar contendio,modificar contenido
exiht,exit
cerarr sesion,cerrar sesion
clar,clear
mkdr,mkdir
kmfile,mkfile
cq,cd
xs,ls
pd,pwd
descoargar,descargar
sumbir,subir
cambiar nombrue,cambiar nombre
modificar cvontenido,modificar contenido
exqit,exit
cerrar sesioon,cerrar sesion
clesar,clear
mkdi,mkdir
mkfle,mkfile
cq,cd
l,ls
wd,pwd
descargaw,descargar
asubir,subir
nambiar nombre,cambiar nombre
modifictar contenido,modificar contenido
ext,exit
cerrars esion,cerrar sesion
cler,clear
mkdi,mkdir
mlkfile,mkfile
chd,cd
ws,ls
fwd,pwd
desacrgar,descargar
msubir,subir
cambair nombre,cambiar nombre
modificar conterido,modificar contenido
exti,exit
cerrar sesoin,cerrar sesion
cler,clear
mkdi,mkdir
mfkile,mkfile
vd,cd
lt,ls
wpd,pwd
descrgar,descargar
subirn,subir
cambiar nomre,cambiar nombre
modificar contenidw,modificar contenido
eit,exit
cerrar sesiyon,cerrar sesion
clgear,clear
mkir,mkdir
mkfiel,mkfile
cdf,cd
sl,ls
wd,pwd
decargar,descargar
subjr,subir
cabiar nombre,cambiar nombre
modificar cnotenido,modificar contenido
exi,exit
cerjar sesion,cerrar sesion
cleqar,clear
mkir,mkdir
kfile,mkfile
xd,cd
bs,ls
pdw,pwd
descarga,descargar
yubir,subir
cambiar nombrbe,cambiar nombre
modificar contenida,modificar contenido
exift,exit
cerrar sgesion,cerrar sesion
clera,clear
mkdri,mkdir
mbkfile,mkfile
ci,cd
la,ls
wpd,pwd
descjrgar,descargar
subri,subir
cabmiar nombre,cambiar nombre
modificar conteido,modificar contenido
exih,exit
ceruar sesion,cerrar sesion
cler,clear
kmdir,mkdir
nkfile,mkfile
dc,cd
ljs,ls
pw,pwd
ldescargar,descargar
suxir,subir
cabmiar nombre,cambiar nombre
modificra contenido,modificar contenido
exti,exit
cerrar sesio,cerrar sesion
cleax,clear
mkir,mkdir
mkfie,mkfile
dc,cd
lsa,ls
fpwd,pwd
decsargar,descargar
usbir,subir
cambiar neombre,cambiar nombre
modifiiar contenido,modificar contenido
exnit,exit
cerqrar sesion,cerrar sesion
clbar,clear
kmdir,mkdir
mkfil,mkfile
d,cd
ys,ls
wd,pwd
descargoar,descargar
subiar,subir
cambiar nomxbre,cambiar nombre
modificar cotnenido,modificar contenido
exi,exit
cerrar sepsion,cerrar sesion
clar,clear
mdkir,mkdir
mkflie,mkfile
dc,cd
sl,ls
nwd,pwd
desocargar,descargar
subpr,subir
cambiar dnombre,cambiar nombre
modifiicar contenido,modificar contenido
exkt,exit
cerrr sesion,cerrar sesion
clyar,clear
medir,mkdir
mkfilem,mkfile
dc,cd
l,ls
pid,pwd
deshcargar,descargar
subr,subir
cambiar nombr,cambiar nombre
modificar conteniyo,modificar contenido
exrt,exit
cerrar sasion,cerrar sesion
clsar,clear
mkir,mkdir
mkfil,mkfile
rd,cd
lks,ls
pwc,pwd
descargdar,descargar
subi,subir
cambiard nombre,cambiar nombre
modificar cntenido,modificar contenido
xit,exit
crerar sesion,cerrar sesion
cwlear,clear
kmdir,mkdir
mkfilef,mkfile
d,cd
ll,ls
wd,pwd
dscargar,descargar
suir,subir
cmbiar nombre,cambiar nombre
modificar contennido,modificar contenido
exgt,exit
cerrar seion,cerrar sesion
clera,clear
mkir,mkdir
mkfiel,mkfile
cm,cd
s,ls
wd,pwd
descargac,descargar
subri,subir
cambar nombre,cambiar nombre
oodificar contenido,modificar contenido
ext,exit
cerarr sesion,cerrar sesion
lear,clear
mkdor,mkdir
mkiile,mkfile
cde,cd
lis,ls
pwwd,pwd
descargkr,descargar
suir,subir
cambiar nmbre,cambiar nombre
modificar contnido,modificar contenido
exif,exit
dcerrar sesion,cerrar sesion
clera,clear
mkdi,mkdir
mrfile,mkfile
cwd,cd
s,ls
pd,pwd
descragar,descargar
svbir,subir
clambiar nombre,cambiar nombre
mdificar contenido,modificar contenido
xxit,exit
cerrar resion,cerrar sesion
cljar,clear
mkdri,mkdir
mkhfile,mkfile
dc,cd
lk,ls
swd,pwd
dscargar,descargar
usbir,subir
camibar nombre,cambiar nombre
modfiicar contenido,modificar contenido
xit,exit
cerrar seion,cerrar sesion
cleear,clear
mkir,mkdir
mbfile,mkfile
c,cd
l,ls
wpd,pwd
descargarq,descargar
usbir,subir
cambiar nombr,cambiar nombre
modificar contenidoo,modificar contenido
eit,exit
cerra rsesion,cerrar sesion
cler,clear
kmdir,mkdir
mkfioe,mkfile
cdn,cd
l,ls
pd,pwd
descargtr,descargar
sbuir,subir
acmbiar nombre,cambiar nombre
modizficar contenido,modificar contenido
exi,exit
cerrar seison,cerrar sesion
clea,clear
fmkdir,mkdir
mkfvile,mkfile
c,cd
lsf,ls
pw,pwd
descargr,descargar
subxr,subir
cambiar nombe,cambiar nombre
modificar contenxdo,modificar contenido
ehit,exit
cerrbar sesion,cerrar sesion
clevr,clear
mkidr,mkdir
zkfile,mkfile
cn,cd
sl,ls
pd,pwd
desncargar,descargar
ysubir,subir
cambiar nobre,cambiar nombre
qodificar contenido,modificar contenido
ext,exit
errar sesion,cerrar sesion
claer,clear
mdkir,mkdir
kfile,mkfile
dc,cd
lrs,ls
wpd,pwd
hescargar,descargar
suir,subir
cambiar nolbre,cambiar nombre
modificar cotnenido,modificar contenido
xit,exit
cerrar sesivn,cerrar sesion
lcear,clear
mkdirx,mkdir
mkile,mkfile
gcd,cd
sl,ls
pdw,pwd
decsargar,descargar
submr,subir
cambtiar nombre,cambiar nombre
modificar contennido,modificar contenido
xit,exit
cerrar sesino,cerrar sesion
caear,clear
mkeir,mkdir
mkfijle,mkfile
c,cd
qs,ls
pdw,pwd
descargarr,descargar
subri,subir
cabmiar nombre,cambiar nombre
modificar conbtenido,modificar contenido
exwit,exit
cerrar ssion,cerrar sesion
clera,clear
mkdri,mkdir
mkflie,mkfile
dc,cd
sl,ls
pwh,pwd
decsargar,descargar
sbuir,subir
cambiar nmobre,cambiar nombre
modificar dontenido,modificar contenido
exti,exit
cerrar sekion,cerrar sesion
claer,clear
okdir,mkdir
mkrfile,mkfile
c,cd
lsc,ls
awd,pwd
decsargar,descargar
subiri,subir
cambiar nobre,cambiar nombre
modifijcar contenido,modificar contenido
ext,exit
cerrra sesion,cerrar sesion
celar,clear
kmdir,mkdir
mkfilen,mkfile
cde,cd
sl,ls
wpd,pwd
deqcargar,descargar
subid,subir
cambiar yombre,cambiar nombre
modificab contenido,modificar contenido
extt,exit
cerrar sesmion,cerrar sesion
cear,clear
mkdr,mkdir
mkfije,mkfile
pcd,cd
l,ls
wd,pwd
decargar,descargar
sbuir,subir
cumbiar nombre,cambiar nombre
modificar contenidoe,modificar contenido
rxit,exit
cerrpar sesion,cerrar sesion
cleear,clear
mkdr,mkdir
mkfie,mkfile
dc,cd
ols,ls
pod,pwd
descargarn,descargar
oubir,subir
cambira nombre,cambiar nombre
modificarcontenido,modificar contenido
exsit,exit
cerrra sesion,cerrar sesion
lcear,clear
kmdir,mkdir
mkafile,mkfile
d,cd
s,ls
piwd,pwd
escargar,descargar
sfbir,subir
cambiar nembre,cambiar nombre
moddficar contenido,modificar contenido
exiht,exit
cerar sesion,cerrar sesion
lear,clear
mkdr,mkdir
mfile,mkfile
dc,cd
s,ls
pw,pwd
decargar,descargar
suibr,subir
cambiare nombre,cambiar nombre
moidficar contenido,modificar contenido
xeit,exit
cerrrar sesion,cerrar sesion
clea,clear
mkdyr,mkdir
mkfil,mkfile
nd,cd
sl,ls
pwdk,pwd
desucargar,descargar
usbir,subir
cambiajr nombre,cambiar nombre
odificar contenido,modificar contenido
xeit,exit
cerrar sesivon,cerrar sesion
celar,clear
mkdyr,mkdir
mkfijle,mkfile
d,cd
s,ls
twd,pwd
edscargar,descargar
wsubir,subir
cambiar nomtbre,cambiar nombre
moificar contenido,modificar contenido
mexit,exit
cerrar sesio,cerrar sesion
eclear,clear
mkdpr,mkdir
mkfil,mkfile
dc,cd
lj,ls
pwed,pwd
lescargar,descargar
sbir,subir
cambiar nomre,cambiar nombre
modificar contneido,modificar contenido
cxit,exit
cerrar sseion,cerrar sesion
cler,clear
kmdir,mkdir
mkuile,mkfile
dc,cd
ly,ls
uwd,pwd
edscargar,descargar
ubir,subir
cambia rnombre,cambiar nombre
modificar fontenido,modificar contenido
xeit,exit
cerrar sfsion,cerrar sesion
lcear,clear
mkdi,mkdir
mkflie,mkfile
dc,cd
sl,ls
xpwd,pwd
descagar,descargar
subar,subir
cambair nombre,cambiar nombre
monificar contenido,modificar contenido
eixt,exit
cerrar sesio,cerrar sesion
culear,clear
mkdivr,mkdir
mfile,mkfile
bd,cd
lz,ls
plwd,pwd
dsecargar,descargar
sgbir,subir
cabiar nombre,cambiar nombre
modigficar contenido,modificar contenido
xeit,exit
cerray sesion,cerrar sesion
celar,clear
mkdic,mkdir
mkfie,mkfile
ad,cd
jls,ls
wpd,pwd
descaragr,descargar
subri,subir
cambiar nomrbre,cambiar nombre
modificar cotnenido,modificar contenido
eit,exit
cerrar psesion,cerrar sesion
cear,clear
mkdtr,mkdir
mkifle,mkfile
dc,cd
sl,ls
pvwd,pwd
descargapr,descargar
sbuir,subir
cambiarh nombre,cambiar nombre
modifciar contenido,modificar contenido
esit,exit
cerrar ssion,cerrar sesion
clea,clear
mkdr,mkdir
mkfle,mkfile
fcd,cd
vls,ls
owd,pwd
descagrar,descargar
sbir,subir
acmbiar nombre,cambiar nombre
modificar conteqnido,modificar contenido
exitv,exit
cerrar sesoin,cerrar sesion
tlear,clear
mkdirc,mkdir
mkflie,mkfile
d,cd
es,ls
pdw,pwd
descargai,descargar
usbir,subir
cambiarnombre,cambiar nombre
modificarcontenido,modificar contenido
exti,exit
cerar sesion,cerrar sesion
cear,clear
mkdri,mkdir
mfkile,mkfile
gd,cd
sl,ls
pwe,pwd
descaragr,descargar
suir,subir
caxbiar nombre,cambiar nombre
modifica rcontenido,modificar contenido
exti,exit
cerrar sesieon,cerrar sesion
clea,clear
kmdir,mkdir
kfile,mkfile
d,cd
lsw,ls
wpd,pwd
descarar,descargar
sbir,subir
cambiar nombrl,cambiar nombre
modificar cojtenido,modificar contenido
exti,exit
cerrra sesion,cerrar sesion
claer,clear
okdir,mkdir
mfkile,mkfile
cv,cd
zls,ls
pwk,pwd
edscargar,descargar
suwbir,subir
cambiar nompre,cambiar nombre
modificar conxtenido,modificar contenido
exet,exit
cerrars esion,cerrar sesion
cleir,clear
mcdir,mkdir
mfkile,mkfile
cdw,cd
bls,ls
pd,pwd
descragar,descargar
suxbir,subir
cambiarn ombre,cambiar nombre
modificarcontenido,modificar contenido
exlt,exit
cerrar seion,cerrar sesion
cleaa,clear
kmdir,mkdir
rmkfile,mkfile
d,cd
sl,ls
pwdf,pwd
descargra,descargar
shbir,subir
cambxiar nombre,cambiar nombre
modificar contenidob,modificar contenido
xit,exit
ceerar sesion,cerrar sesion
clxear,clear
mqkdir,mkdir
mkfkile,mkfile
d,cd
fs,ls
pwdt,pwd
yescargar,descargar
sbir,subir
cambiar nmobre,cambiar nombre
modificar ocntenido,modificar contenido
eixt,exit
cerrar sesin,cerrar sesion
clea,clear
mkyir,mkdir
mokfile,mkfile
d,cd
lss,ls
pid,pwd
descaragr,descargar
sbir,subir
cambir nombre,cambiar nombre
modificar ocntenido,modificar contenido
exixt,exit
cerrar wsesion,cerrar sesion
clar,clear
mkdmr,mkdir
mfkile,mkfile
cdj,cd
sl,ls
wd,pwd
derscargar,descargar
subri,subir
cambiar nomkbre,cambiar nombre
mojdificar contenido,modificar contenido
exhit,exit
cerrarq sesion,cerrar sesion
cleaf,clear
mkdri,mkdir
mkifle,mkfile
d,cd
ds,ls
pwdc,pwd
descargr,descargar
subirc,subir
cambiar nomsbre,cambiar nombre
modificar contenio,modificar contenido
ext,exit
cerrar sesino,cerrar sesion
cleiar,clear
mkpir,mkdir
mkfileg,mkfile
dc,cd
us,ls
wd,pwd
descaragr,descargar
subri,subir
cambiar nmbre,cambiar nombre
modificar conetnido,modificar contenido
exiti,exit
cerra sesion,cerrar sesion
cler,clear
mdir,mkdir
mkfiee,mkfile
c,cd
lz,ls
pwq,pwd
destcargar,descargar
suir,subir
lambiar nombre,cambiar nombre
modificar contenid,modificar contenido
xit,exit
cerrar sesin,cerrar sesion
cleas,clear
kmdir,mkdir
mfkile,mkfile
qcd,cd
lsl,ls
wpd,pwd
detscargar,descargar
lubir,subir
cambiar nobre,cambiar nombre
moaificar contenido,modificar contenido
ext,exit
cerrar sesiosn,cerrar sesion
lear,clear
mdir,mkdir
mkfiel,mkfile
ccd,cd
sl,ls
prwd,pwd
descarga,descargar
subirf,subir
cambiar nmbre,cambiar nombre
modificr contenido,modificar contenido
exlt,exit
cerra rsesion,cerrar sesion
cear,clear
mkzir,mkdir
hkfile,mkfile
d,cd
l,ls
pdw,pwd
dsecargar,descargar
subwir,subir
cambir nombre,cambiar nombre
moificar contenido,modificar contenido
xeit,exit
cerrar sersion,cerrar sesion
cler,clear
mkrir,mkdir
kfile,mkfile
dc,cd
ils,ls
uwd,pwd
escargar,descargar
swbir,subir
cambiar nombrm,cambiar nombre
modifcicar contenido,modificar contenido
qexit,exit
cervar sesion,cerrar sesion
uclear,clear
nkdir,mkdir
mkifle,mkfile
d,cd
lsi,ls
pw,pwd
descargakr,descargar
suubir,subir
cambiar ombre,cambiar nombre
modificar cnotenido,modificar contenido
eixt,exit
ecrrar sesion,cerrar sesion
clar,clear
kmdir,mkdir
mkkfile,mkfile
cr,cd
l,ls
pnd,pwd
descarar,descargar
slbir,subir
cambiar nombnre,cambiar nombre
modifdicar contenido,modificar contenido
eexit,exit
cerrar resion,cerrar sesion
clar,clear
gkdir,mkdir
kfile,mkfile
cb,cd
s,ls
pw,pwd
descorgar,descargar
sbuir,subir
bcambiar nombre,cambiar nombre
modificap contenido,modificar contenido
yexit,exit
cerar sesion,cerrar sesion
cpear,clear
mkdi,mkdir
mfkfile,mkfile
cod,cd
hls,ls
pnd,pwd
descargare,descargar
sobir,subir
cambiar nombrei,cambiar nombre
modificor contenido,modificar contenido
eyit,exit
cerrar ession,cerrar sesion
clera,clear
wkdir,mkdir
mkfilve,mkfile
c,cd
lss,ls
pwz,pwd
descragar,descargar
shbir,subir
cambiaor nombre,cambiar nombre
modificaricontenido,modificar contenido
eixt,exit
cerrar sesio,cerrar sesion
cjear,clear
mkidr,mkdir
mkifle,mkfile
d,cd
lsm,ls
pws,pwd
dexscargar,descargar
subri,subir
cambiar noxbre,cambiar nombre
modificlr contenido,modificar contenido
xeit,exit
cerar sesion,cerrar sesion
cear,clear
mkir,mkdir
mkdfile,mkfile
cu,cd
ld,ls
pmwd,pwd
decargar,descargar
usbir,subir
cmabiar nombre,cambiar nombre
omdificar contenido,modificar contenido
exi,exit
cerarr sesion,cerrar sesion
clsar,clear
mkdi,mkdir
mkdfile,mkfile
dc,cd
ll,ls
pod,pwd
descarga,descargar
suibr,subir
cambia rnombre,cambiar nombre
modificar contenidp,modificar contenido
eixt,exit
cerrar seysion,cerrar sesion
cleer,clear
mvdir,mkdir
mkfilr,mkfile
dc,cd
cls,ls
puwd,pwd
desclargar,descargar
suibr,subir
cambiar dnombre,cambiar nombre
modificr contenido,modificar contenido
eeit,exit
cerrarsesion,cerrar sesion
cler,clear
mkdwr,mkdir
mkfilx,mkfile
d,cd
sl,ls
spwd,pwd
descargra,descargar
subi,subir
cambiar nmobre,cambiar nombre
modificuar contenido,modificar contenido
exitl,exit
cersar sesion,cerrar sesion
clar,clear
mkdar,mkdir
mkifle,mkfile
c,cd
sl,ls
owd,pwd
desacrgar,descargar
szbir,subir
cambiar nnombre,cambiar nombre
modificar congtenido,modificar contenido
exiu,exit
ceirar sesion,cerrar sesion
cear,clear
mkdr,mkdir
mkile,mkfile
dc,cd
l,ls
pdw,pwd
dscargar,descargar
subair,subir
camibar nombre,cambiar nombre
omdificar contenido,modificar contenido
exi,exit
cerrar seison,cerrar sesion
cear,clear
mdkir,mkdir
xmkfile,mkfile
cdn,cd
l,ls
tpwd,pwd
wescargar,descargar
gsubir,subir
camiar nombre,cambiar nombre
mobificar contenido,modificar contenido
xeit,exit
cerrar qesion,cerrar sesion
cleuar,clear
mkdix,mkdir
mkfileo,mkfile
d,cd
sl,ls
pw,pwd
descargra,descargar
suabir,subir
cembiar nombre,cambiar nombre
modiflicar contenido,modificar contenido
exi,exit
cerrra sesion,cerrar sesion
ckear,clear
kmdir,mkdir
mkfil,mkfile
cs,cd
sl,ls
pdw,pwd
descargard,descargar
subgir,subir
mambiar nombre,cambiar nombre
modificar conhenido,modificar contenido
erit,exit
cehrrar sesion,cerrar sesion
clea,clear
mkair,mkdir
mkfwle,mkfile
cu,cd
lsm,ls
pdw,pwd
descargal,descargar
subi,subir
cafbiar nombre,cambiar nombre
modificar cotenido,modificar contenido
xeit,exit
cerrar sestion,cerrar sesion
blear,clear
kmdir,mkdir
mkfil,mkfile
d,cd
lz,ls
wpd,pwd
decargar,descargar
subr,subir
camtbiar nombre,cambiar nombre
modifiacr contenido,modificar contenido
xit,exit
cerrar sesiono,cerrar sesion
lcear,clear
mtdir,mkdir
mkzfile,mkfile
td,cd
vls,ls
zwd,pwd
descargra,descargar
sublir,subir
cambiar nomber,cambiar nombre
modfiicar contenido,modificar contenido
exin,exit
cuerrar sesion,cerrar sesion
tlear,clear
mkdsir,mkdir
qmkfile,mkfile
acd,cd
li,ls
pd,pwd
desjcargar,descargar
fubir,subir
cambia nombre,cambiar nombre
mdoificar contenido,modificar contenido
exmit,exit
cerrar sesoin,cerrar sesion
clwear,clear
rmkdir,mkdir
mklfile,mkfile
cm,cd
os,ls
pwy,pwd
descrgar,descargar
subi,subir
cambiar nmobre,cambiar nombre
modxificar contenido,modificar contenido
eixt,exit
cerrar seion,cerrar sesion
clea,clear
mkkir,mkdir
mkuile,mkfile
c,cd
lps,ls
pdw,pwd
descaragr,descargar
usbir,subir
cambiear nombre,cambiar nombre
modifimar contenido,modificar contenido
exipt,exit
cetrar sesion,cerrar sesion
claer,clear
mkdif,mkdir
kmfile,mkfile
cdz,cd
lst,ls
zpwd,pwd
descarga,descargar
suir,subir
cambiar njmbre,cambiar nombre
modifica contenido,modificar contenido
esit,exit
cerarr sesion,cerrar sesion
lcear,clear
mdir,mkdir
kmfile,mkfile
c,cd
s,ls
pd,pwd
desfargar,descargar
subpir,subir
cambiarn ombre,cambiar nombre
modificar contenio,modificar contenido
ext,exit
crerar sesion,cerrar sesion
klear,clear
ckdir,mkdir
mkoile,mkfile
dc,cd
la,ls
pd,pwd
descarga,descargar
sfubir,subir
cabiar nombre,cambiar nombre
modificar contendo,modificar contenido
exiet,exit
cerrar ession,cerrar sesion
clea,clear
mkdr,mkdir
mkfilea,mkfile
dc,cd
